City,Region,Country,ParentLocation,AirQuality,WaterPollution
Tucson,Arizona,United States of America,Americas,84.27419355,39.65517241
Aurora,Illinois,United States of America,Americas,75,25
Red Deer,Alberta,Canada,Americas,58.82352941,42.5
Nashville,Tennessee,United States of America,Americas,70,42.94871795
Salt Lake City,Utah,United States of America,Americas,23.13432836,41.66666667
Merida,Merida State,Venezuela,Americas,75,25
Atlanta,Georgia,United States of America,Americas,59.6875,46.57534247
Las Vegas,Nevada,United States of America,Americas,51.72413793,49.69135802
Vancouver,British Columbia,Canada,Americas,80.56930693,31.66666667
Albany,New York,United States of America,Americas,87.5,31.25
Harrisburg,Pennsylvania,United States of America,Americas,82.5,37.5
Trenton,New Jersey,United States of America,Americas,85,100
Newark,New Jersey,United States of America,Americas,50,62.5
Jersey City,New Jersey,United States of America,Americas,58.33333333,60
Keller,Texas,United States of America,Americas,66.66666667,25
Ciudad Juarez,Chihuahua,Mexico,Americas,56.25,43.75
Davenport,Iowa,United States of America,Americas,86.36363636,53.57142857
Ciudad Bolivar,Bolivar,Venezuela,Americas,100,50
Jackson,Mississippi,United States of America,Americas,85.41666667,28.57142857
Augusta,Maine,United States of America,Americas,50,100
Baton Rouge,Louisiana,United States of America,Americas,64.58333333,40.625
Lansing,Michigan,United States of America,Americas,92.85714286,41.66666667
Concord,New Hampshire,United States of America,Americas,91.66666667,15
Lincoln,Nebraska,United States of America,Americas,86.66666667,27.5
Annapolis,Maryland,United States of America,Americas,86.53846154,47.22222222
Olinda,Pernambuco,Brazil,Americas,50,75
Sao Luis,Maranhao,Brazil,Americas,50,100
Springfield,Illinois,United States of America,Americas,90.625,62.5
Saint Paul,Minnesota,United States of America,Americas,88.54166667,30
Montgomery,Alabama,United States of America,Americas,70.83333333,56.25
Boca Raton,Florida,United States of America,Americas,94.23076923,34.61538462
Juneau,Alaska,United States of America,Americas,100,25
Heredia,Heredia Province,Costa Rica,Americas,35.71428571,50
Cartago,Provincia de Cartago,Costa Rica,Americas,78.125,18.75
El Alto,La Paz Department,Bolivia,Americas,50,100
Burlington,Vermont,United States of America,Americas,100,30
Allen,Texas,United States of America,Americas,75,12.5
Las Cruces,New Mexico,United States of America,Americas,82.8125,33.33333333
Little Rock,Arkansas,United States of America,Americas,89.28571429,22.05882353
Hartford,Connecticut,United States of America,Americas,65.38461538,50
Dover,Delaware,United States of America,Americas,100,50
Valparaiso,Valparaiso Region,Chile,Americas,51.92307692,30.55555556
Sarnia,Ontario,Canada,Americas,70.58823529,50
Fargo,North Dakota,United States of America,Americas,100,0
Thunder Bay,Ontario,Canada,Americas,87.5,34.375
Grand Forks,North Dakota,United States of America,Americas,87.5,37.5
Brantford,Ontario,Canada,Americas,75,43.33333333
Barrie,Ontario,Canada,Americas,83.82352941,29.16666667
Burlington,Ontario,Canada,Americas,91.25,35.9375
Belleville,Ontario,Canada,Americas,88.88888889,20
Port-au-Prince,Ouest,Haiti,Americas,12.5,68.75
New Orleans,Louisiana,United States of America,Americas,65.13157895,72.85714286
Kingston,Surrey County,Jamaica,Americas,33.125,58.57142857
Dayton,Ohio,United States of America,Americas,82.8125,33.33333333
Albuquerque,New Mexico,United States of America,Americas,83.33333333,39.70588235
Santo Domingo,,Dominican Republic,Americas,32.54716981,70.28301887
Oklahoma City,Oklahoma,United States of America,Americas,88.33333333,31.73076923
Trinidad,Beni Department,Bolivia,Americas,75,50
Boise,Idaho,United States of America,Americas,68.93939394,32.5
Minneapolis,Minnesota,United States of America,Americas,79.51388889,33.57142857
Bridgetown,Saint Michael,Barbados,Americas,90,15
Puerto Montt,Los Lagos Region,Chile,Americas,25,50
Salta,Salta Province,Argentina,Americas,60,50
Calgary,,Canada,Americas,80,24.8502994
Salvador,Bahia,Brazil,Americas,83,51.31578947
Tallahassee,Florida,United States of America,Americas,92.1875,41.66666667
Bismarck,North Dakota,United States of America,Americas,95.83333333,50
Alajuela,Alajuela Province,Costa Rica,Americas,55,50
Cleveland,Ohio,United States of America,Americas,66.66666667,54.54545455
Milwaukee,Wisconsin,United States of America,Americas,79.06976744,43.29268293
Columbia,South Carolina,United States of America,Americas,66.07142857,52.27272727
Santa Fe,New Mexico,United States of America,Americas,89.28571429,38.63636364
Helena,Montana,United States of America,Americas,100,50
Cheyenne,Wyoming,United States of America,Americas,92.85714286,0
Port of Spain,,Trinidad and Tobago,Americas,37.5,69.79166667
Anchorage,Alaska,United States of America,Americas,90,18.75
Des Moines,Iowa,United States of America,Americas,82.5,38.33333333
Manaus,Amazonas,Brazil,Americas,31.25,46.42857143
Springfield,Oregon,United States of America,Americas,25,50
Porto Alegre,Rio Grande do Sul,Brazil,Americas,54.66101695,59.25925926
Norman,Oklahoma,United States of America,Americas,100,25
Buffalo,New York,United States of America,Americas,77.08333333,36.95652174
Carson City,Nevada,United States of America,Americas,100,50
Topeka,Kansas,United States of America,Americas,81.25,56.25
Raleigh,North Carolina,United States of America,Americas,84.44444444,31.25
St. George's,Saint George Parish,Grenada,Americas,55,25
Castries,Castries Quarter,Saint Lucia,Americas,70.83333333,33.33333333
Kansas City,Missouri,United States of America,Americas,76.74418605,44.51219512
Talcahuano,Biobio Region,Chile,Americas,33.33333333,0
Olympia,Washington,United States of America,Americas,87.5,18.75
Santiago de los Caballeros,Santiago Province,Dominican Republic,Americas,35,66.66666667
Belo Horizonte,Minas Gerais,Brazil,Americas,51.171875,47.45762712
Cincinnati,Ohio,United States of America,Americas,57.57575758,43.10344828
Omaha,Nebraska,United States of America,Americas,78.57142857,32.35294118
Fresno,California,United States of America,Americas,21.25,78.125
Richmond,Virginia,United States of America,Americas,73.17073171,27.63157895
Fortaleza,Ceara,Brazil,Americas,66.66666667,56.94444444
Guayaquil,Guayas Province,Ecuador,Americas,41.21621622,70.51282051
Louisville,Kentucky,United States of America,Americas,56.06060606,38.79310345
Madison,Wisconsin,United States of America,Americas,86.76470588,40.32258065
Salem,Oregon,United States of America,Americas,87.5,17.85714286
Ketchikan,Alaska,United States of America,Americas,100,50
Trois-Rivieres,Quebec,Canada,Americas,82.14285714,0
Vaughan,Ontario,Canada,Americas,80.88235294,28.33333333
Markham,Ontario,Canada,Americas,89.58333333,17.70833333
La Plata,Buenos Aires Province,Argentina,Americas,40.90909091,63.63636364
Brampton,Ontario,Canada,Americas,70.83333333,39.88095238
Cordoba,Cordoba Province,Argentina,Americas,35,58.33333333
Santa Rosa,La Pampa,Argentina,Americas,75,75
San Salvador de Jujuy,Province of Jujuy,Argentina,Americas,75,50
La Rioja,La Rioja Province,Argentina,Americas,100,50
Mendoza,Mendoza,Argentina,Americas,65.625,53.57142857
Viedma,Rio Negro Province,Argentina,Americas,100,75
San Luis,San Luis Province,Argentina,Americas,75,50
Santiago del Estero,Santiago del Estero Province,Argentina,Americas,75,25
Charleston,West Virginia,United States of America,Americas,95,50
Tulsa,Oklahoma,United States of America,Americas,75,38.63636364
Santa Monica,California,United States of America,Americas,66.66666667,54.16666667
Palo Alto,California,United States of America,Americas,56.25,50
Green Bay,Wisconsin,United States of America,Americas,63.88888889,50
Charleston,South Carolina,United States of America,Americas,75,57.69230769
Bariloche,Rio Negro Province,Argentina,Americas,83.33333333,41.66666667
Dover,New Hampshire,United States of America,Americas,100,50
Nashua,New Hampshire,United States of America,Americas,87.5,0
Medellin,Antioquia Department,Colombia,Americas,23.9010989,38.23529412
Recife,Pernambuco,Brazil,Americas,49.16666667,77.41935484
Manchester,New Hampshire,United States of America,Americas,76.92307692,38.88888889
Oak Ridge,Tennessee,United States of America,Americas,87.5,50
San Luis Obispo,California,United States of America,Americas,92.5,45.83333333
Cambridge,Massachusetts,United States of America,Americas,91.66666667,21.875
West Hartford,Connecticut,United States of America,Americas,91.66666667,6.25
New Haven,Connecticut,United States of America,Americas,81.81818182,37.5
New Bedford,Massachusetts,United States of America,Americas,25,75
Stamford,Connecticut,United States of America,Americas,50,54.16666667
Bridgeport,Connecticut,United States of America,Americas,79.16666667,66.66666667
Waterbury,Connecticut,United States of America,Americas,80,0
Worcester,Massachusetts,United States of America,Americas,91.66666667,75
Pittsfield,Massachusetts,United States of America,Americas,89.28571429,100
Fall River,Massachusetts,United States of America,Americas,100,50
Newton,Massachusetts,United States of America,Americas,75,50
Danbury,Connecticut,United States of America,Americas,75,0
Somerville,Massachusetts,United States of America,Americas,100,12.5
Portland,Maine,United States of America,Americas,82.14285714,42.85714286
Rochester,New York,United States of America,Americas,64.70588235,47.91666667
Irvine,California,United States of America,Americas,63.15789474,33.33333333
Fremont,California,United States of America,Americas,79.16666667,15
Scottsdale,Arizona,United States of America,Americas,68.75,28.84615385
Reno,Nevada,United States of America,Americas,70.93023256,28.84615385
Winston-Salem,North Carolina,United States of America,Americas,94.44444444,5
Durham,North Carolina,United States of America,Americas,75,39.58333333
Norfolk,Virginia,United States of America,Americas,100,75
Orlando,Florida,United States of America,Americas,75.73529412,48.38709677
Greensboro,North Carolina,United States of America,Americas,76.66666667,31.81818182
Toledo,Ohio,United States of America,Americas,75,75
Stockton,California,United States of America,Americas,44.23076923,71.875
Lexington,Kentucky,United States of America,Americas,89.28571429,40
Corpus Christi,Texas,United States of America,Americas,70,68.18181818
Riverside,California,United States of America,Americas,45.83333333,53.33333333
Santa Ana,California,United States of America,Americas,50,55
Aurora,Colorado,United States of America,Americas,45.83333333,33.33333333
Anaheim,California,United States of America,Americas,55.76923077,33.33333333
Tampa,Florida,United States of America,Americas,79.78723404,45.93023256
Bakersfield,California,United States of America,Americas,16.66666667,68.47826087
Colorado Springs,Colorado,United States of America,Americas,79.41176471,38.39285714
Virginia Beach,Virginia,United States of America,Americas,85.52631579,36.66666667
Mesa,Arizona,United States of America,Americas,68.75,31.25
Wichita,Kansas,United States of America,Americas,86.36363636,33.82352941
Henderson,Nevada,United States of America,Americas,67.85714286,35
Fort Wayne,Indiana,United States of America,Americas,66.66666667,43.75
Chula Vista,California,United States of America,Americas,37.5,75
Chandler,Arizona,United States of America,Americas,65,45
Lubbock,Texas,United States of America,Americas,69.64285714,34.09090909
Garland,Texas,United States of America,Americas,75,50
Garden Grove,California,United States of America,Americas,75,0
Mississauga,Ontario,Canada,Americas,81.69642857,32.69230769
Osorno,Los Lagos Region,Chile,Americas,25,62.5
Ovalle,Coquimbo Region,Chile,Americas,100,25
Cali,Valle del Cauca Department,Colombia,Americas,67.04545455,42.1875
Pereira,Risaralda Department,Colombia,Americas,25,75
Puente Alto,Santiago Metropolitan Region,Chile,Americas,0,50
Punta Arenas,Magellan and the Chilean Antarctic Region,Chile,Americas,94.44444444,45
Gilbert,Arizona,United States of America,Americas,75,0
Tempe,Arizona,United States of America,Americas,68.18181818,46.42857143
Peoria,Arizona,United States of America,Americas,65,15
Surprise,Arizona,United States of America,Americas,100,0
Plano,Texas,United States of America,Americas,78.57142857,32.14285714
Irving,Texas,United States of America,Americas,62.5,37.5
Amarillo,Texas,United States of America,Americas,53.125,53.125
Brownsville,Texas,United States of America,Americas,57.14285714,68.75
Mesquite,Texas,United States of America,Americas,50,75
McKinney,Texas,United States of America,Americas,87.5,18.75
McAllen,Texas,United States of America,Americas,87.5,35.71428571
